epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,4591.25,1.3096,0.77573,1.19555,0.81936,0.83313,0.90154,0.50512,1.55088,0.83762,1.39104,0.0009704,0.0009704,0.0009704
106,4633.77,1.22857,0.76768,1.19096,0.85355,0.87755,0.93169,0.51378,1.53229,0.80281,1.38537,0.0009605,0.0009605,0.0009605
107,4676.07,1.26414,0.76134,1.17777,0.8479,0.87225,0.93323,0.53097,1.51545,0.82731,1.38642,0.0009506,0.0009506,0.0009506
108,4721.76,1.23615,0.77036,1.19071,0.83429,0.89051,0.92528,0.52674,1.49236,0.82337,1.35123,0.0009407,0.0009407,0.0009407
109,4764.58,1.25123,0.73669,1.17763,0.85234,0.82464,0.90548,0.50436,1.5024,0.83986,1.3677,0.0009308,0.0009308,0.0009308
110,4807.21,1.23875,0.7416,1.17208,0.87111,0.84354,0.91443,0.49734,1.54141,0.83803,1.37373,0.0009209,0.0009209,0.0009209
111,4848.44,1.26188,0.73583,1.17368,0.77718,0.89116,0.87723,0.49429,1.5403,0.84864,1.38278,0.000911,0.000911,0.000911
112,4890.1,1.24993,0.75883,1.1807,0.87571,0.80272,0.89539,0.52427,1.53844,0.8214,1.37241,0.0009011,0.0009011,0.0009011
113,4929.77,1.17979,0.71542,1.14219,0.8775,0.87714,0.91404,0.51687,1.50558,0.8449,1.36972,0.0008912,0.0008912,0.0008912
114,4969.15,1.18062,0.69774,1.15769,0.83726,0.87496,0.9075,0.53508,1.51625,0.7729,1.39358,0.0008813,0.0008813,0.0008813
115,5008.32,1.21229,0.70889,1.15772,0.88614,0.91837,0.93106,0.52525,1.52585,0.75166,1.38611,0.0008714,0.0008714,0.0008714
116,5047.73,1.2629,0.75311,1.16444,0.82067,0.93396,0.93051,0.52555,1.55664,0.8154,1.40542,0.0008615,0.0008615,0.0008615
117,5087.16,1.22915,0.73869,1.17994,0.82945,0.89326,0.92563,0.53238,1.53616,0.78979,1.38907,0.0008516,0.0008516,0.0008516
118,5126.36,1.17443,0.70322,1.16129,0.80706,0.94558,0.92424,0.52963,1.51576,0.80414,1.38645,0.0008417,0.0008417,0.0008417
119,5165.86,1.24752,0.73322,1.17573,0.87551,0.86117,0.93244,0.52417,1.52459,0.77903,1.37264,0.0008318,0.0008318,0.0008318
120,5205.41,1.20993,0.71313,1.15293,0.83678,0.80212,0.87636,0.47247,1.56578,0.87858,1.39744,0.0008219,0.0008219,0.0008219
121,5248.49,1.17291,0.69679,1.15179,0.84206,0.91156,0.91777,0.52401,1.52846,0.78103,1.38951,0.000812,0.000812,0.000812
